Deal Date,Security Code,Company,Client Name,Deal Type,Quantity,Price
19/12/2025,539559,DDIL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,S,1458093,7.51
19/12/2025,540693,SHISHIND,NEO APEX VENTURE LLP,P,1326259,14.04
19/12/2025,517356,ACIIN,PUJYA GURUWAR TEXTILE INDIA PRIVATE LIMITED,S,1300000,1.30
19/12/2025,537800,MANGIND,NIKUNJ JAGADISHCHANDRA PUROHIT,S,979376,0.93
19/12/2025,530053,REALECO,GOODNESS CONSULTANCY LLP,S,750000,4.94
19/12/2025,512591,PULSRIN,JAI VINAYAK SECURITIES,P,604278,1.37
19/12/2025,512591,PULSRIN,NEO APEX VENTURE LLP,S,598437,1.57
19/12/2025,540190,FRANKLININD,PRAS INVESTMENT PRIVATE LIMITED,P,594896,0.73
19/12/2025,530053,REALECO,AMIT AGARWAL HUF,P,543943,4.95
19/12/2025,544656,HRS,L7 HITECH PRIVATE LIMITED,P,483600,138.86
19/12/2025,512591,PULSRIN,AJAY PITAMBAR CHOUDHARY,P,480000,1.48
19/12/2025,531909,CROISSANCE,VINOD KUMAR KANDOI HUF,P,450000,4.10
19/12/2025,531254,OPTIFIN,ARYAMAN BROKING LIMITED,S,430072,19.50
19/12/2025,531909,CROISSANCE,HEMANT  BAHRI,S,402428,4.11
19/12/2025,507410,WALCHANNAG,IRAGE BROKING SERVICES LLP,P,372665,204.12
19/12/2025,544656,HRS,MANDAKINIBEN PRADYUMANBHAI PATEL,S,288000,138.91
19/12/2025,543464,SPITZE,AASTHA HITESH BHANSALI,P,277000,145.00
19/12/2025,507410,WALCHANNAG,IRAGE BROKING SERVICES LLP,S,256184,203.30
19/12/2025,543464,SPITZE,UNICORN FUND,S,240000,145.03
19/12/2025,512591,PULSRIN,JAI VINAYAK SECURITIES,S,232560,1.45
19/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,P,229578,21.24
19/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,P,195000,20.47
19/12/2025,533301,SHEKHAWATI,PUNEET  MITTAL,S,191776,21.01
19/12/2025,544656,HRS,NIRAV DINESHBHAI CHAUDHARI,P,174000,138.90
19/12/2025,544656,HRS,SPRING VENTURES,S,164400,138.90
19/12/2025,533301,SHEKHAWATI,PUNEET  MITTAL,P,156107,21.37
19/12/2025,540134,IISL,ASHISH JAIN HUF,P,134651,11.00
19/12/2025,544656,HRS,MNM STOCK BROKING PVT. LTD.,S,134400,138.91
19/12/2025,544656,HRS,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,S,126000,138.86
19/12/2025,530187,ATHARVENT,PRAGATI GLOBAL FINANCE LIMITED,S,125000,3.40
19/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,S,124051,20.39
19/12/2025,511018,ZMILGFIN,PUNEET AGGARWAL,S,123294,64.00
19/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,S,122000,20.48
19/12/2025,540550,YUG,PHANI KISHORE TALLURI,S,120750,25.66
19/12/2025,543464,SPITZE,UNICORN FUND,S,110000,145.13
19/12/2025,505515,SHYMINV,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,109933,10.54
19/12/2025,543520,GLHRL,SUCHETA DHRUVKUMAR JANI,S,100000,20.47
19/12/2025,531512,ORIENTTR,JYOTI MUKESH NALAWADE,P,100000,20.99
19/12/2025,544625,LOGICIEL,NEO APEX VENTURE LLP,P,90600,87.84
19/12/2025,543464,SPITZE,MAHIPAL BHIMRAJ BAGRECHA,P,87000,145.00
19/12/2025,540134,IISL,YAVA CORP GLOBAL LIMITED,S,84243,11.00
19/12/2025,544659,STANBIK,BHUPENDRA CHAKRADRA,P,80000,31.75
19/12/2025,544511,KARBON,AFFLUENCE GEMS PRIVATELIMITED,P,75200,165.75
19/12/2025,541337,MILEFUR,MAHENDRA GIRDHARILAL WADHWANI,S,69000,27.85
19/12/2025,544656,HRS,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,P,60000,138.91
19/12/2025,539032,FRASER,ANKIT KUMAR SONI,P,60000,10.65
19/12/2025,544625,LOGICIEL,NEO APEX VENTURE LLP,S,57600,87.84
19/12/2025,544625,LOGICIEL,X91 CAPITAL FUND,P,54000,87.75
19/12/2025,544514,CITYSQUARE,SAMBHAVNATH INVESTMENTS AND FINANCES PRIVATE LIMITED,P,52800,122.80
19/12/2025,544514,CITYSQUARE,SUNRISE INVESTMENT OPPORTUNITIES FUND,S,51200,122.80
19/12/2025,544629,RAVEL,NAV CAPITAL VCC - NAV CAPITAL EMERGING STAR FUND,P,50000,131.45
19/12/2025,544002,VIVAA,NIRANJANKUMAR NAVRATANMAL JAIN,S,50000,40.95
19/12/2025,539032,FRASER,PRIYANK RAMESH DOSHI,S,50000,10.65
19/12/2025,544656,HRS,MANDAKINIBEN PRADYUMANBHAI PATEL,P,48000,138.86
19/12/2025,544641,KVTOYS,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,P,45600,321.55
19/12/2025,531396,WOMENNET,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,44713,7.62
19/12/2025,544621,SSMD,ALGOQUANT FINTECH LIMITED,P,44000,55.00
19/12/2025,544621,SSMD,NEO APEX VENTURE LLP,S,44000,55.00
19/12/2025,544625,LOGICIEL,ANUJ KUMAR,S,42600,88.84
19/12/2025,543400,OMNIPOTENT,KRISHNA MURARI TEKRIWAL,P,40000,4.81
19/12/2025,543400,OMNIPOTENT,SUMANTEKRIWAL,S,40000,4.81
19/12/2025,540134,IISL,RAJAT  VERMA,S,40000,11.00
19/12/2025,526081,SCAGRO,RUCHIRA GOYAL,S,34000,25.53
19/12/2025,524590,HEMORGANIC,MANISH HASMUKHBHAI DHAKECHA,P,33000,22.45
19/12/2025,524590,HEMORGANIC,VIVEK KANDA,S,31174,22.51
19/12/2025,524590,HEMORGANIC,PARESH DHIRAJLAL SHAH,S,30000,22.51
19/12/2025,531396,WOMENNET,SNEHA SANJEEV LUNKAD,P,29530,7.62
19/12/2025,543366,SBLI,SULABH THOMAS SAINU,S,26400,42.02
19/12/2025,544002,VIVAA,PADAMSHREE GLOBE TRADELINK LIMITED,P,26000,40.95
19/12/2025,524590,HEMORGANIC,NEO APEX VENTURE LLP,P,25000,22.51
19/12/2025,544002,VIVAA,LAJJA POLYFAB PRIVATE LIMITED,P,24000,40.95
19/12/2025,524590,HEMORGANIC,MAYANK JAIN,P,21156,22.17
19/12/2025,543366,SBLI,HJS SECURITIES PRIVATE LIMITED,P,18000,41.56
19/12/2025,540134,IISL,YAVA CORP GLOBAL LIMITED,P,16977,10.50
19/12/2025,543366,SBLI,SHIFALI SHARMA,S,14400,36.20
19/12/2025,544641,KVTOYS,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,S,14400,311.44
19/12/2025,524590,HEMORGANIC,NEO APEX VENTURE LLP,S,9206,22.00
19/12/2025,543366,SBLI,VINTAGE DIAMOND LLP,P,7200,42.58
19/12/2025,506122,VOLKAI,PADMAVATHI NOOTHALAPATI,S,6000,41.79
19/12/2025,543366,SBLI,HJS SECURITIES PRIVATE LIMITED,S,2400,37.48
19/12/2025,544621,SSMD,ALGOQUANT FINTECH LIMITED,S,2000,54.90
19/12/2025,544514,CITYSQUARE,SAMBHAVNATH INVESTMENTS AND FINANCES PRIVATE LIMITED,S,1600,122.80
19/12/2025,543366,SBLI,VINTAGE DIAMOND LLP,S,1200,38.15
19/12/2025,531396,WOMENNET,SNEHA SANJEEV LUNKAD,S,21,7.68
19/12/2025,512591,PULSRIN,AJAY PITAMBAR CHOUDHARY,S,1,1.54
22/12/2025,500365,WELSPLSOL,WELSPUN CORP LIMITED,P,27239744,40.00
22/12/2025,500365,WELSPLSOL,MGN AGRO PROPERTIES PRIVATE LIMITED,S,18666666,40.00
22/12/2025,541890,SPACEINCUBA,NIRAV DINESHBHAI CHAUDHARI,S,11591379,0.42
22/12/2025,537800,MANGIND,RATHOD MANOJ CHHAGANLAL HUF,S,10200402,0.93
22/12/2025,500365,WELSPLSOL,WELSPUN GROUP MASTER TRUST,S,8573078,40.00
22/12/2025,540730,MEHAI,SHARE INDIA SECURITIES LIMITED,P,6685388,1.69
22/12/2025,540730,MEHAI,NEO APEX VENTURE LLP,S,5930493,1.70
22/12/2025,513361,INDIAHOMES,THE VIKRAMPUR TEA & INDUSTRY COMPANY LIMITED,S,5235707,12.31
22/12/2025,540730,MEHAI,ISHAAN TRADEFIN LLP,S,3805241,1.62
22/12/2025,539773,ADVIKCA,FAIRPLAN DISTRIBUTORS PRIVATE LIMITED,P,3700000,1.34
22/12/2025,512441,ENBETRD,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,S,3445000,0.46
22/12/2025,541890,SPACEINCUBA,SHUBHAM ASHOKBHAI PATEL,S,3300000,0.42
22/12/2025,512441,ENBETRD,SATISH KUMAR ANANTA SATYANARAYANA ANAPU,P,3288012,0.45
22/12/2025,512441,ENBETRD,SHARE INDIA SECURITIES LIMITED,S,3041980,0.48
22/12/2025,540259,SHANGAR,SHARE INDIA SECURITIES LIMITED,P,2740635,0.28
22/12/2025,541890,SPACEINCUBA,VIVEK KANDA,S,2581590,0.40
22/12/2025,512441,ENBETRD,SHARE INDIA SECURITIES LIMITED,P,2500041,0.48
22/12/2025,541890,SPACEINCUBA,KAJAL GOPAL BALDHA,P,2268000,0.39
22/12/2025,540259,SHANGAR,SHARE INDIA SECURITIES LIMITED,S,2240644,0.28
22/12/2025,540730,MEHAI,SHARE INDIA SECURITIES LIMITED,S,2197332,1.60
22/12/2025,541890,SPACEINCUBA,PACE STOCK BROKING SERVICES PVT LTD,P,2000000,0.42
22/12/2025,541890,SPACEINCUBA,ARIX CAPITAL LIMITED,P,1880000,0.42
22/12/2025,540730,MEHAI,ISHAAN TRADEFIN LLP,P,1485693,1.69
22/12/2025,540730,MEHAI,NEO APEX VENTURE LLP,P,1430493,1.63
22/12/2025,523710,SAYAJIHOTL,ZUBER YUSUF DHANANI,P,728061,268.00
22/12/2025,523710,SAYAJIHOTL,ZOYA  DHANANI,S,727961,268.00
22/12/2025,512591,PULSRIN,NEO APEX VENTURE LLP,S,650000,1.17
22/12/2025,539097,URSUGAR,SANJEEV KUMAR SHARMA,P,518260,3.69
22/12/2025,512591,PULSRIN,TATAD NAYAN GAUTAMBHAI,S,452900,1.17
22/12/2025,541890,SPACEINCUBA,NIRAV DINESHBHAI CHAUDHARI,P,391379,0.40
22/12/2025,542678,CHCL,KANTA DEVI SAMDARIA,S,354000,4.72
22/12/2025,542678,CHCL,PRAVIN BRIJVALLABHA CHANDAK,P,300000,4.72
22/12/2025,512441,ENBETRD,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,P,241487,0.48
22/12/2025,542678,CHCL,ANAND MOHAN .,P,200000,4.72
22/12/2025,543520,GLHRL,SUCHETA DHRUVKUMAR JANI,S,200000,21.10
22/12/2025,544640,RDEL,NEO APEX VENTURE LLP,P,194400,58.84
22/12/2025,543464,SPITZE,INDO THAI SECURITIES LIMITED,S,187000,152.83
22/12/2025,531512,ORIENTTR,NIRAJ RAJNIKANT SHAH,P,175000,21.21
22/12/2025,544656,HRS,NIRAV DINESHBHAI CHAUDHARI,S,174000,145.85
22/12/2025,543464,SPITZE,AASTHA HITESH BHANSALI,P,170000,152.83
22/12/2025,542678,CHCL,NIKUNJ GHANSHYAM CHANDAK,P,164000,4.77
22/12/2025,526504,DOLPHMED,PL.M.PALANIAPPAN,P,163280,2.74
22/12/2025,540923,ASHOKAMET,PUNEET  MITTAL,S,150694,16.94
22/12/2025,543745,SVS,NRUPINI JAYESH MEHTA,P,150000,15.12
22/12/2025,508980,FRONTCAP,AMITBALKRISHNAAROLE,S,138133,5.47
22/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,S,132886,21.21
22/12/2025,540923,ASHOKAMET,IRAGE BROKING SERVICES LLP,P,128434,16.93
22/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,P,128000,21.15
22/12/2025,544656,HRS,RATHOD DIGVIJAYSINH RAJENDRASINH,P,120000,145.84
22/12/2025,544656,HRS,RATHOD DIGVIJAYSINH RAJENDRASINH,S,120000,145.85
22/12/2025,524322,KABRADG,MIRAL HEMANTBHAI BHOOT,S,119000,27.55
22/12/2025,505515,SHYMINV,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,109934,10.10
22/12/2025,541337,MILEFUR,MAHENDRA GIRDHARILAL WADHWANI,S,90000,27.30
22/12/2025,544643,PRODOCS,BRILLIANTBRIDGE SERVICES PRIVATE LIMITED,S,89000,192.80
22/12/2025,544643,PRODOCS,TRIVENI TRUST,P,86000,192.80
22/12/2025,544641,KVTOYS,ROYAL ALPHA OPPORTUNITY FUND,S,85200,334.32
22/12/2025,544641,KVTOYS,VORTON OPPORTUNITIES FUND,P,84000,330.75
22/12/2025,539117,SUJALA,PICADALLY TRADE & HOLDINGS PRIVATE LIMITED,S,77138,69.05
22/12/2025,544625,LOGICIEL,SIMSTREET ADVISORS PRIVATE LIMITED,P,75000,81.94
22/12/2025,539117,SUJALA,GAURI NANDAN TRADERS,P,73001,69.05
22/12/2025,544659,STANBIK,GREEN PEAKS ENTERPRISES LLP,S,72000,33.50
22/12/2025,540923,ASHOKAMET,PUNEET  MITTAL,P,69562,16.99
22/12/2025,532015,GRAVITY,VIVEK KANDA,P,59002,11.22
22/12/2025,540923,ASHOKAMET,IRAGE BROKING SERVICES LLP,S,58971,16.96
22/12/2025,544662,SIMANDHAR,JIGNA NILESH SHETH,P,58239,21.50
22/12/2025,543400,OMNIPOTENT,KRISHNA MURARI TEKRIWAL,S,56000,4.79
22/12/2025,531396,WOMENNET,VT CAPITAL MARKET PRIVATE LIMITED,P,55482,8.48
22/12/2025,532397,KONNDOR,AMIT DHANISHANKER UPADHYAY,P,54684,18.27
22/12/2025,532397,KONNDOR,POURNIMA JAYVANT NICHITE,S,54500,18.27
22/12/2025,543400,OMNIPOTENT,SUMANTEKRIWAL,P,54000,4.79
22/12/2025,544002,VIVAA,NIRANJANKUMAR NAVRATANMAL JAIN,S,50000,41.00
22/12/2025,512441,ENBETRD,SATISH KUMAR ANANTA SATYANARAYANA ANAPU,S,50000,0.48
22/12/2025,531396,WOMENNET,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,44713,7.71
22/12/2025,544625,LOGICIEL,NEO APEX VENTURE LLP,S,44400,80.66
22/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,S,42000,21.20
22/12/2025,544625,LOGICIEL,VISTAAR TRADING SERVICE PRIVATE LIMITED,P,40200,82.56
22/12/2025,531680,MAYUR,UMESH  HANSRAJANI,P,39278,18.38
22/12/2025,544625,LOGICIEL,ANUJ KUMAR,S,37800,80.34
22/12/2025,531396,WOMENNET,SNEHA SANJEEV LUNKAD,S,35493,8.48
22/12/2025,539288,AVI,BABLI  MEENA,P,35000,17.75
22/12/2025,544625,LOGICIEL,VISTAAR TRADING SERVICE PRIVATE LIMITED,S,32400,81.00
22/12/2025,544662,SIMANDHAR,HARSHAD T SHAH HUF,S,30450,21.50
22/12/2025,523710,SAYAJIHOTL,ZUBER YUSUF DHANANI,S,28020,272.00
22/12/2025,543400,OMNIPOTENT,KRISHNA MURARI TEKRIWAL,P,28000,4.66
22/12/2025,544002,VIVAA,PADAMSHREE GLOBE TRADELINK LIMITED,P,26000,41.00
22/12/2025,527005,SHREEPAC,ABHISHEK  SINGHVI,S,25510,203.74
22/12/2025,544662,SIMANDHAR,PARULBEN HEMANSHUBHAI SHAH,S,25000,21.50
22/12/2025,544002,VIVAA,LAJJA POLYFAB PRIVATE LIMITED,P,24000,41.00
22/12/2025,531039,SWADHATURE,AMIT JUGRAJ JAIN,P,23500,11.96
22/12/2025,526841,SHAKTIPR,HARE RAM SINGH,S,22225,24.17
22/12/2025,544662,SIMANDHAR,MAULI DIGANT SHAH,S,20000,21.50
22/12/2025,543540,PGCRL,SHIV SHAKTI TRADING COMPANY,S,18000,132.33
22/12/2025,526841,SHAKTIPR,PRATIK RAMESHBHAI PUJARA (HUF),P,18000,24.17
22/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,P,14267,21.75
22/12/2025,543540,PGCRL,SHIV SHAKTI TRADING COMPANY,P,12600,130.30
22/12/2025,512591,PULSRIN,NEO APEX VENTURE LLP,P,11168,1.14
22/12/2025,532015,GRAVITY,VIVEK KANDA,S,10689,11.54
22/12/2025,539117,SUJALA,GAURI NANDAN TRADERS,S,9800,69.70
22/12/2025,504397,GANHOLD,LALITHA RANKA,P,9398,103.58
22/12/2025,544625,LOGICIEL,NEO APEX VENTURE LLP,P,8400,80.39
22/12/2025,543366,SBLI,HJS SECURITIES PRIVATE LIMITED,P,4800,39.53
22/12/2025,543366,SBLI,HJS SECURITIES PRIVATE LIMITED,S,2400,40.17
22/12/2025,531396,WOMENNET,VT CAPITAL MARKET PRIVATE LIMITED,S,82,7.71
23/12/2025,512149,AVANCE,NEO APEX VENTURE LLP,S,14309919,1.51
23/12/2025,512149,AVANCE,ALIA COMMOSALES LLP,P,12000000,1.47
23/12/2025,512149,AVANCE,NEO APEX VENTURE LLP,P,11510101,1.41
23/12/2025,537800,MANGIND,SHARE INDIA SECURITIES LIMITED,P,8359981,0.96
23/12/2025,537800,MANGIND,SHARE INDIA SECURITIES LIMITED,S,7950036,0.97
23/12/2025,543248,RBA,AMANSA INVESTMENTS LIMITED,S,6632506,64.10
23/12/2025,539773,ADVIKCA,FAIRPLAN DISTRIBUTORS PRIVATE LIMITED,P,5900000,1.35
23/12/2025,539773,ADVIKCA,MOCKTAIL TRADING PRIVATE LIMITED,S,4000000,1.35
23/12/2025,513361,INDIAHOMES,THE VIKRAMPUR TEA & INDUSTRY COMPANY LIMITED,S,3443749,12.40
23/12/2025,513361,INDIAHOMES,NAVRATAN MADANLAL BAGRECHA,P,2418000,12.40
23/12/2025,541890,SPACEINCUBA,VIVEK KANDA,S,2000000,0.40
23/12/2025,531512,ORIENTTR,PICADALLY TRADE & HOLDINGS PRIVATE LIMITED,P,742300,20.58
23/12/2025,539289,AURUM,SHAH SANJIV DHIRESHBHAI,P,705000,178.04
23/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,P,689203,20.58
23/12/2025,531512,ORIENTTR,GAURI NANDAN TRADERS,S,657632,20.54
23/12/2025,531512,ORIENTTR,JYOTI MUKESH NALAWADE,S,648125,20.56
23/12/2025,544336,QUADFUTURE,IRAGE BROKING SERVICES LLP,S,533474,357.01
23/12/2025,512361,CUPIDALBV,ANILKUMAR,S,381289,37.22
23/12/2025,544336,QUADFUTURE,IRAGE BROKING SERVICES LLP,P,367898,355.11
23/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,P,229000,21.22
23/12/2025,544336,QUADFUTURE,HRTI PRIVATE LIMITED,S,223075,352.84
23/12/2025,544336,QUADFUTURE,HRTI PRIVATE LIMITED,P,201855,351.71
23/12/2025,543520,GLHRL,SUCHETA DHRUVKUMAR JANI,S,200000,21.22
23/12/2025,544524,JDCABLES,BONANZA PORTFOLIO LIMITED - BONANZA EDGE,P,192000,185.12
23/12/2025,544625,LOGICIEL,VISTAAR TRADING SERVICE PRIVATE LIMITED,S,177600,83.18
23/12/2025,544625,LOGICIEL,VISTAAR TRADING SERVICE PRIVATE LIMITED,P,169800,81.81
23/12/2025,544656,HRS,RATHOD DIGVIJAYSINH RAJENDRASINH,S,156000,153.14
23/12/2025,544656,HRS,RATHOD DIGVIJAYSINH RAJENDRASINH,P,156000,153.14
23/12/2025,533056,VEDAVAAG,JIGNEY BHACHECH (HUF),P,133047,32.53
23/12/2025,544626,EXATO,DEVI TRADERS LLP,P,111000,395.70
23/12/2025,544626,EXATO,DEVI TRADERS LLP,S,111000,399.04
23/12/2025,505515,SHYMINV,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,109934,10.15
23/12/2025,543520,GLHRL,SHIV SHAKTI TRADING COMPANY,S,100000,21.50
23/12/2025,521137,EUREKAI,GAURI NANDAN TRADERS,S,97465,8.16
23/12/2025,544625,LOGICIEL,RATAN  LAL,P,91200,79.82
23/12/2025,532946,BANG,RIMPY  MITTAL,S,90960,53.28
23/12/2025,521137,EUREKAI,PICADALLY TRADE & HOLDINGS PRIVATE LIMITED,P,90450,7.95
23/12/2025,543520,GLHRL,POOJA KOCHAR,P,90000,21.50
23/12/2025,544625,LOGICIEL,SUMICKSHA BANSAL,S,84600,78.95
23/12/2025,544625,LOGICIEL,SUMICKSHA BANSAL,P,84600,78.36
23/12/2025,544659,STANBIK,BHUPENDRA CHAKRADRA,S,80000,33.00
23/12/2025,521137,EUREKAI,GAURI NANDAN TRADERS,P,78114,8.31
23/12/2025,541337,MILEFUR,MAHENDRA GIRDHARILAL WADHWANI,S,75000,27.79
23/12/2025,540703,PROCLB,PARESH AMRUTLAL TRIVEDI,S,74717,26.59
23/12/2025,544625,LOGICIEL,HI KLASS TRADING AND INVESTMENT LIMITED,P,70200,84.00
23/12/2025,543520,GLHRL,TANVI BANSAL,P,67000,21.19
23/12/2025,541337,MILEFUR,SHARE INDIA SECURITIES LIMITED,P,66000,28.15
23/12/2025,543285,RCAN,NIDHI ANKITBHAI SHAH,S,61600,21.25
23/12/2025,544625,LOGICIEL,X91 CAPITAL FUND,P,54000,85.83
23/12/2025,543520,GLHRL,TANVI BANSAL,S,50000,21.10
23/12/2025,544625,LOGICIEL,SOHAM FINCARE INDIA LLP,S,46800,80.42
23/12/2025,544625,LOGICIEL,HI KLASS TRADING AND INVESTMENT LIMITED,S,46200,84.95
23/12/2025,544625,LOGICIEL,ZETA GLOBAL FUNDS (OEIC) PCC LIMITED - ZETA SERIES B FUND PC,S,45000,72.16
23/12/2025,544160,JAYKAILASH,NEEL NARENDRABHAI PUJARA,S,44800,20.36
23/12/2025,531396,WOMENNET,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,S,44714,7.90
23/12/2025,544625,LOGICIEL,SOHAM FINCARE INDIA LLP,P,42600,80.30
23/12/2025,532946,BANG,RIMPY  MITTAL,P,40960,52.41
23/12/2025,532397,KONNDOR,POURNIMA JAYVANT NICHITE,S,40187,17.65
23/12/2025,544625,LOGICIEL,MANGALSUDHA VINIMAY PRIVATE LIMITED,P,38400,76.86
23/12/2025,544625,LOGICIEL,MANGALSUDHA VINIMAY PRIVATE LIMITED,S,38400,83.32
23/12/2025,532397,KONNDOR,AMIT DHANISHANKER UPADHYAY,P,35079,18.01
23/12/2025,540703,PROCLB,SHAH JINESHKUMAR HIMATLAL HUF,P,34500,27.37
23/12/2025,543613,MAFIA,ARVIND C PATEL,P,32000,9.13
23/12/2025,543613,MAFIA,UTTAMCHANDANI SANDIP M,S,32000,9.13
23/12/2025,544625,LOGICIEL,RATAN  LAL,S,31200,77.40
23/12/2025,543540,PGCRL,POOJA KOCHAR,P,30000,130.86
23/12/2025,539117,SUJALA,DIMPLE P SHETH,S,30000,69.00
23/12/2025,540703,PROCLB,NILESHBHAI HASMUKHBHAI VANANI (HUF),P,26192,27.37
23/12/2025,539288,AVI,ARUN GUPTA,S,21184,18.61
23/12/2025,538465,AMARSEC,HEMALI AMIT PANDYA,S,16000,12.44
23/12/2025,543540,PGCRL,SHIV SHAKTI TRADING COMPANY,S,15000,131.00
23/12/2025,543540,PGCRL,SHIV SHAKTI TRADING COMPANY,P,7200,129.25
23/12/2025,543613,MAFIA,UTTAMCHANDANI SANDIP M,P,4000,9.13
23/12/2025,512361,CUPIDALBV,ANILKUMAR,P,365,37.75
24/12/2025,507880,VIPIND,PIRAMAL VIBHUTI INVESTMENTS LIMITED,S,14559843,388.01
24/12/2025,507880,VIPIND,DGP SECURITIES LIMITED,S,14105946,388.00
24/12/2025,507880,VIPIND,MULTIPLES PRIVATE EQUITY GIFT FUND IV,P,13914505,388.00
24/12/2025,507880,VIPIND,MULTIPLES PRIVATE EQUITY FUND IV,P,12617212,388.00
24/12/2025,507880,VIPIND,SAMVIBHAG SECURITIES PRIVATE LIMITED,P,9765737,388.00
24/12/2025,537800,MANGIND,SHARE INDIA SECURITIES LIMITED,P,7992684,0.99
24/12/2025,537800,MANGIND,SHARE INDIA SECURITIES LIMITED,S,7402645,1.00
24/12/2025,511447,SYLPH,ZEEL SANJAY SONI,P,6400948,0.68
24/12/2025,540730,MEHAI,SHARE INDIA SECURITIES LIMITED,S,4969914,1.55
24/12/2025,539559,DDIL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,S,3827840,6.51
24/12/2025,507880,VIPIND,KEMP AND CO LTD,S,3343280,388.00
24/12/2025,512441,ENBETRD,SARITA,S,3155000,0.46
24/12/2025,507880,VIPIND,ALCON FINANCE & INVESTMENTS LIMITED,S,2797175,388.00
24/12/2025,507880,VIPIND,KIDDY PLAST LIMITED,S,2226362,388.00
24/12/2025,539559,DDIL,NEO APEX VENTURE LLP,P,1500000,6.46
24/12/2025,507880,VIPIND,IRAGE BROKING SERVICES LLP,S,1086648,419.60
24/12/2025,539559,DDIL,BHAVISHYA ECOMMERCE PRIVATE LIMITED,P,1053080,6.72
24/12/2025,530053,REALECO,GOODNESS CONSULTANCY LLP,S,1000000,4.85
24/12/2025,544665,GLOBALLOG,MARWADI SHARES AND FINANCE LIMITED,P,998400,79.20
24/12/2025,530053,REALECO,ACHINTYA SECURITIES PVT. LTD.,P,763894,4.85
